"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Potato, State : Karnataka"
"Commodity : Potato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
03/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
04/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
12/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
17/12/2025,0.4,Potato,2000.0,3000.0,2500.0
18/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
22/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
24/12/2025,0.4,Potato,2000.0,3000.0,2500.0
26/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
29/12/2025,0.4,Potato,2000.0,3000.0,2500.0
31/12/2025,0.4,Potato,2000.0,3000.0,2500.0
Market Name : Hospet APMC
06/12/2025,4.0,Potato,1600.0,1600.0,1600.0
08/12/2025,22.5,Potato,1400.0,2200.0,1900.0
10/12/2025,15.5,Potato,1300.0,2000.0,1600.0
13/12/2025,1.6,Potato,1600.0,1600.0,1600.0
15/12/2025,9.5,Potato,1400.0,2200.0,2000.0
17/12/2025,2.5,Potato,1400.0,1400.0,1400.0
20/12/2025,6.5,Potato,1400.0,1600.0,1600.0
23/12/2025,8.0,Potato,1400.0,1800.0,1800.0
24/12/2025,9.5,Potato,1400.0,1400.0,1400.0
27/12/2025,5.0,Potato,1400.0,1400.0,1400.0
28/12/2025,17.0,Potato,1200.0,2000.0,1300.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,260.5,Local,1000.0,1500.0,1250.0
02/12/2025,217.5,Potato,1200.0,1900.0,1700.0
03/12/2025,60.7,Potato,1200.0,1800.0,1500.0
04/12/2025,124.0,Potato,1000.0,1600.0,1300.0
09/12/2025,115.0,Potato,500.0,1450.0,1100.0
10/12/2025,132.0,Potato,500.0,1700.0,1400.0
11/12/2025,145.0,Potato,500.0,1600.0,1300.0
12/12/2025,251.5,Potato,1000.0,1650.0,1450.0
15/12/2025,205.0,Potato,1000.0,1700.0,1500.0
16/12/2025,245.0,Potato,800.0,1600.0,1300.0
17/12/2025,160.0,Potato,1000.0,1750.0,1400.0
18/12/2025,165.0,Potato,800.0,1250.0,1100.0
19/12/2025,160.0,Potato,1200.0,1400.0,1300.0
20/12/2025,180.0,Potato,1300.0,1500.0,1400.0
22/12/2025,241.10000000000002,Potato,900.0,1300.0,1150.0
24/12/2025,135.0,Potato,700.0,1300.0,1150.0
29/12/2025,262.5,Potato,1000.0,1300.0,1100.0
30/12/2025,155.0,Potato,600.0,1500.0,1300.0
31/12/2025,135.0,Potato,1000.0,1200.0,1100.0
Market Name : Kalburgi APMC
03/12/2025,30.0,Potato,1000.0,1500.0,1250.0
10/12/2025,53.0,Potato,800.0,1600.0,1200.0
17/12/2025,30.0,Potato,800.0,1200.0,1000.0
18/12/2025,20.0,Potato,800.0,1200.0,1000.0
19/12/2025,25.0,Potato,1000.0,1200.0,1100.0
20/12/2025,43.0,Potato,700.0,1200.0,950.0
22/12/2025,20.0,Potato,1000.0,1500.0,1250.0
24/12/2025,45.0,Potato,600.0,1800.0,1200.0
26/12/2025,20.0,Potato,600.0,1800.0,1200.0
29/12/2025,20.0,Potato,1000.0,1500.0,1250.0
30/12/2025,20.0,Potato,1000.0,1500.0,1250.0
31/12/2025,25.0,Potato,1000.0,1400.0,1200.0
Market Name : Kolar APMC
18/12/2025,1.5,Local,1500.0,2500.0,2000.0
Market Name : Malur APMC
24/12/2025,2.5,Potato,1800.0,2200.0,2000.0
Market Name : Nanjangud APMC
12/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
15/12/2025,6.5,Potato,2380.0,2777.0,2564.0
16/12/2025,4.6000000000000005,Potato,2380.0,3333.0,3030.0
18/12/2025,4.0,Potato,2380.0,4166.0,3333.0
20/12/2025,6.1000000000000005,Potato,2380.0,2777.0,2564.0
22/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
29/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
30/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
Market Name : Shimoga APMC
01/12/2025,6.0,Local,2600.0,3000.0,2800.0
02/12/2025,4.0,Local,2600.0,3000.0,2800.0
03/12/2025,2.0,Local,2600.0,3000.0,2800.0
08/12/2025,2.0,Local,2600.0,3000.0,2800.0
